NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000138449	6	0.501265287399292	0.11567966	Yes	
row_1	ENSG00000099194	9	0.481032133102417	0.22684455	Yes	
row_2	ENSG00000171227	14	0.3733065724372864	0.31301376	Yes	
row_3	ENSG00000226549	16	0.3598298132419586	0.3961896	Yes	
row_4	ENSG00000197594	33	0.31382840871810913	0.46810994	Yes	
row_5	ENSG00000128590	223	0.13138176500797272	0.4907216	Yes	
row_6	ENSG00000157326	342	0.10492951422929764	0.51013565	Yes	
row_7	ENSG00000151726	443	0.09158357977867126	0.52720344	Yes	
row_8	ENSG00000166598	601	0.07699920237064362	0.5385542	Yes	
row_9	ENSG00000219481	608	0.07663589715957642	0.5560308	Yes	
row_10	ENSG00000211584	780	0.06807425618171692	0.5647418	Yes	
row_11	ENSG00000198830	908	0.06311164051294327	0.57411456	Yes	
row_12	ENSG00000099875	928	0.062321826815605164	0.5877462	Yes	
row_13	ENSG00000173210	1174	0.05486993491649628	0.59036016	Yes	
row_14	ENSG00000044574	1492	0.048443134874105453	0.58852684	Yes	
row_15	ENSG00000197976	1513	0.04790117219090462	0.5987823	Yes	
row_16	ENSG00000117643	1530	0.047456301748752594	0.6090994	Yes	
row_17	ENSG00000121064	1767	0.04312729462981224	0.6093678	Yes	
row_18	ENSG00000167608	1780	0.04294506832957268	0.6188061	Yes	
row_19	ENSG00000144712	1831	0.04197762534022331	0.6264579	Yes	
row_20	ENSG00000112294	1861	0.041335590183734894	0.6348249	Yes	
row_21	ENSG00000168209	2159	0.03751587122678757	0.6312869	Yes	
row_22	ENSG00000131620	2229	0.03671850636601448	0.6369411	Yes	
row_23	ENSG00000066248	2257	0.03638987988233566	0.64424646	Yes	
row_24	ENSG00000175356	2285	0.03598891943693161	0.65145916	Yes	
row_25	ENSG00000176155	2362	0.03523971140384674	0.6564835	Yes	
row_26	ENSG00000119242	2425	0.03458733484148979	0.66193265	Yes	
row_27	ENSG00000151552	2481	0.033872392028570175	0.6675043	Yes	
row_28	ENSG00000215644	2683	0.03165624663233757	0.6665592	Yes	
row_29	ENSG00000179218	2726	0.03102909028530121	0.672008	Yes	
row_30	ENSG00000107331	3072	0.028213119134306908	0.6643446	No	
row_31	ENSG00000105518	3709	0.02299249917268753	0.6435064	No	
row_32	ENSG00000060656	3912	0.021424412727355957	0.6401539	No	
row_33	ENSG00000206384	3933	0.021294821053743362	0.6442562	No	
row_34	ENSG00000173281	4203	0.019399970769882202	0.63768005	No	
row_35	ENSG00000130222	4356	0.018390363082289696	0.63568217	No	
row_36	ENSG00000126950	4850	0.015423286706209183	0.6189743	No	
row_37	ENSG00000130881	5650	0.01106224674731493	0.58867365	No	
row_38	ENSG00000181790	5654	0.011030090972781181	0.59110117	No	
row_39	ENSG00000163931	5746	0.010492776520550251	0.5897854	No	
row_40	ENSG00000186480	5992	0.009226256981492043	0.5818435	No	
row_41	ENSG00000156414	6105	0.00865616649389267	0.57923937	No	
row_42	ENSG00000155660	6330	0.007671846076846123	0.57180154	No	
row_43	ENSG00000100219	6335	0.007639309857040644	0.5734038	No	
row_44	ENSG00000165449	6386	0.007391635794192553	0.573057	No	
row_45	ENSG00000130513	6578	0.006510441657155752	0.56670773	No	
row_46	ENSG00000101255	6965	0.005106562282890081	0.55201435	No	
row_47	ENSG00000171298	7080	0.004748721607029438	0.5484243	No	
row_48	ENSG00000132205	7083	0.0047349934466183186	0.5494371	No	
row_49	ENSG00000175048	7324	0.003982196561992168	0.54048806	No	
row_50	ENSG00000144908	7452	0.003567337989807129	0.53609014	No	
row_51	ENSG00000130487	7756	0.0027804295532405376	0.52427226	No	
